"date","precip_in","snowfall_in","temp_min_degF","temp_max_degF","windspeed_avg_mph"
2015-04-23,0,0,41,51.98,9.171454
2015-04-24,0,0,39.02,51.98,8.500372
2015-04-25,0,0,37.94,62.06,5.59235
2015-04-26,0,0,46.04,64.04,5.144962
2015-04-27,0,0,48.92,62.06,5.816044
2015-04-28,0,0,50,71.06,7.82929
2015-04-29,0,0,50,78.08,5.59235
2015-04-30,0,0,48.02,66.92,8.052984
2015-05-01,0,0,48.92,62.96,5.144962
2015-05-02,0,0,48.02,73.94,2.908022
2015-05-03,0,0,51.08,80.06,2.460634
2015-05-04,0,0,57.02,84.92,5.368656
2015-05-05,0,0,66.02,84.92,4.026492
2015-05-06,0,0,59,73.04,4.921268
2015-05-07,0,0,55.94,80.06,2.23694
2015-05-08,0,0,55.94,82.04,2.908022
2015-05-09,0,0,57.02,69.98,4.250186
2015-05-10,0,0,60.98,82.94,3.579104
2015-05-11,0,0,69.98,84.02,3.802798
2015-05-12,0,0,64.04,86,5.368656
2015-05-13,0,0,53.06,69.98,7.381902
2015-05-14,0,0,50,73.04,3.802798
2015-05-15,0,0,55.04,75.02,3.35541
2015-05-16,0.29921276,0,57.02,75.02,2.013246
2015-05-17,0.01968505,0,64.04,82.94,2.013246
2015-05-18,0,0,60.08,75.02,4.697574
2015-05-19,0,0,59,80.06,2.460634
2015-05-20,0,0,53.96,66.92,6.934514
2015-05-21,0,0,51.98,62.06,2.684328
2015-05-22,0,0,55.04,73.94,6.039738
2015-05-23,0,0,48.92,69.98,4.47388
2015-05-24,0,0,55.94,80.96,3.802798
2015-05-25,0,0,64.04,84.92,4.921268
2015-05-26,0,0,66.92,87.98,5.144962
2015-05-27,0.0787402,0,69.98,84.92,5.144962
2015-05-28,0,0,69.98,84.92,4.026492
2015-05-29,0,0,64.94,84.92,4.026492
2015-05-30,0,0,66.92,84.92,5.59235
2015-05-31,1.46063071,0,57.02,87.08,5.59235
2015-06-01,0.72047283,0,51.08,57.92,10.289924
2015-06-02,0.37007894,0,50,55.04,6.263432
2015-06-03,0,0,51.98,69.98,4.697574
2015-06-04,0,0,53.96,64.94,5.144962
2015-06-05,0.12992133,0,55.04,69.98,2.908022
2015-06-06,0.18897648,0,60.08,75.92,4.697574
2015-06-07,0,0,55.04,73.94,3.802798
2015-06-08,0.05905515,0,62.96,78.98,6.039738
2015-06-09,0.01181103,0,68,82.94,4.921268
2015-06-10,0,0,64.94,82.04,3.131716
2015-06-11,0,0,71.96,89.06,4.47388
2015-06-12,0,0,73.04,87.98,4.47388
2015-06-13,0,0,71.96,86,5.368656
2015-06-14,0.35826791,0,66.02,87.98,2.684328
2015-06-15,0.57086645,0,64.04,82.94,4.697574
2015-06-16,0.27165369,0,64.94,78.98,2.23694
2015-06-17,0,0,66.02,82.04,3.802798
2015-06-18,0,0,64.04,71.06,3.579104
2015-06-19,0,0,68,87.08,3.802798
2015-06-20,0,0,64.04,75.02,5.368656
2015-06-21,0.64173263,0,71.06,87.98,4.47388
2015-06-22,0,0,69.98,87.08,4.921268
2015-06-23,0.01968505,0,75.02,89.96,5.816044
