"date","precip_in","snowfall_in","temp_min_degF","temp_max_degF","windspeed_avg_mph"
2014-05-31,0.05118113,0,57.02,73.04,5.816044
2014-06-01,0,0,55.04,77,3.579104
2014-06-02,0,0,59,80.06,4.47388
2014-06-03,0.1181103,0,64.94,87.08,4.026492
2014-06-04,0,0,62.96,82.04,3.579104
2014-06-05,0.87007921,0,60.98,75.92,5.59235
2014-06-06,0,0,60.98,75.92,4.47388
2014-06-07,0,0,60.08,82.04,2.908022
2014-06-08,0,0,66.02,86,2.908022
2014-06-09,1.59842606,0,62.96,73.04,4.250186
2014-06-10,0,0,64.94,77,3.35541
2014-06-11,0.01968505,0,60.98,69.98,7.158208
2014-06-12,0.07086618,0,60.08,73.04,5.59235
2014-06-13,1.27952825,0,64.94,78.98,3.579104
2014-06-14,0,0,60.08,73.94,4.697574
2014-06-15,0,0,59,80.06,4.250186
2014-06-16,0,0,62.96,80.96,2.908022
2014-06-17,0,0,71.06,89.06,4.026492
2014-06-18,0,0,75.92,89.06,5.816044
2014-06-19,0.14960638,0,68,77,3.802798
2014-06-20,0,0,64.04,78.98,4.47388
2014-06-21,0,0,62.06,78.08,4.921268
2014-06-22,0,0,64.04,78.98,2.013246
2014-06-23,0,0,64.94,80.96,2.684328
2014-06-24,0,0,68,80.96,4.921268
2014-06-25,0.0787402,0,69.98,84.92,4.921268
2014-06-26,0.07086618,0,69.98,84.92,4.697574
2014-06-27,0,0,66.92,82.94,2.908022
2014-06-28,0,0,66.02,87.08,2.908022
2014-06-29,0,0,68,82.94,2.684328
2014-06-30,0,0,69.08,84.02,2.684328
2014-07-01,0,0,71.96,89.06,5.144962
2014-07-02,0.96063044,0,71.96,91.04,3.802798
2014-07-03,1.77952852,0,69.08,87.08,2.908022
2014-07-04,0.14173236,0,64.94,73.94,5.368656
2014-07-05,0,0,62.96,80.96,6.71082
2014-07-06,0,0,66.02,84.02,4.921268
2014-07-07,0.0393701,0,71.96,89.96,5.816044
2014-07-08,0.38976399,0,71.06,91.04,4.697574
2014-07-09,0.09055123,0,71.06,87.98,4.250186
2014-07-10,0,0,71.96,82.94,2.908022
2014-07-11,0,0,71.06,86,4.026492
2014-07-12,0,0,71.06,84.92,3.35541
2014-07-13,0.03149608,0,71.96,82.94,5.144962
2014-07-14,0.46063017,0,71.96,84.02,4.47388
2014-07-15,1.2992133,0,71.96,86,2.684328
2014-07-16,0,0,68,80.96,3.802798
2014-07-17,0,0,66.92,80.96,4.026492
2014-07-18,0,0,64.04,80.96,4.026492
2014-07-19,0,0,68,75.92,5.144962
2014-07-20,0,0,66.02,80.06,4.026492
2014-07-21,0,0,66.92,84.92,2.013246
2014-07-22,0,0,71.06,86,3.802798
2014-07-23,0.18897648,0,71.96,87.98,4.921268
2014-07-24,0,0,69.98,80.06,4.921268
2014-07-25,0,0,66.02,82.04,4.250186
2014-07-26,0,0,69.08,80.96,4.250186
2014-07-27,0.01968505,0,71.06,84.92,3.35541
2014-07-28,0.18897648,0,68,82.04,7.381902
2014-07-29,0,0,64.04,75.92,4.921268
2014-07-30,0,0,62.96,80.06,2.908022
2014-07-31,0,0,68,82.04,3.35541
2014-08-01,0,0,71.06,84.02,3.802798
2014-08-02,0.40944904,0,62.96,73.94,6.039738
2014-08-03,0.07086618,0,66.02,75.92,2.23694
2014-08-04,0,0,69.98,84.02,3.35541
2014-08-05,0,0,71.06,89.96,2.460634
2014-08-06,0,0,69.98,82.94,2.908022
2014-08-07,0,0,66.02,82.94,4.250186
2014-08-08,0,0,64.94,82.94,3.131716
2014-08-09,0,0,66.02,87.08,2.908022
2014-08-10,0,0,68,87.98,2.908022
2014-08-11,0,0,71.06,87.08,3.131716
2014-08-12,0.18897648,0,69.98,78.98,5.816044
2014-08-13,0.53149635,0,68,82.04,5.59235
2014-08-14,0,0,62.96,77,4.697574
2014-08-15,0,0,60.98,73.04,5.368656
2014-08-16,0,0,62.96,78.08,4.026492
2014-08-17,0.01181103,0,66.02,82.04,3.579104
2014-08-18,0,0,62.96,80.96,4.47388
2014-08-19,0,0,62.96,82.94,3.802798
2014-08-20,0,0,69.98,84.02,2.23694
2014-08-21,0.35039389,0,64.94,82.94,3.579104
2014-08-22,0.05905515,0,64.94,78.98,4.697574
2014-08-23,0.01181103,0,66.92,77,4.697574
2014-08-24,0,0,64.04,80.06,3.131716
2014-08-25,0,0,64.04,87.98,2.684328
2014-08-26,0,0,69.98,89.06,2.23694
2014-08-27,0,0,69.98,89.96,3.35541
2014-08-28,0,0,66.02,82.04,5.368656
2014-08-29,0,0,60.98,80.06,3.35541
2014-08-30,0,0,64.94,80.06,2.23694
2014-08-31,0.61811057,0,73.04,89.96,3.35541
