"date","num_accidents","num_injuries","num_deaths"
2015-01-10,481,112,0
2015-01-11,341,66,0
2015-01-12,580,157,0
2015-01-13,613,142,1
2015-01-14,506,115,1
2015-01-15,546,122,0
2015-01-16,563,114,1
2015-01-17,495,110,1
2015-01-18,960,228,0
2015-01-19,496,102,1
2015-01-20,499,92,0
2015-01-21,495,80,0
2015-01-22,508,98,0
2015-01-23,597,117,2
2015-01-24,428,66,0
2015-01-25,406,107,0
2015-01-26,484,80,0
2015-01-27,188,21,0
2015-01-28,458,89,0
2015-01-29,519,90,1
2015-01-30,622,101,0
2015-01-31,526,99,1
2015-02-01,361,65,0
2015-02-02,680,122,0
2015-02-03,740,140,1
2015-02-04,585,123,1
2015-02-05,569,98,0
2015-02-06,652,98,0
2015-02-07,449,116,0
2015-02-08,394,85,0
2015-02-09,547,111,2
2015-02-10,571,114,0
2015-02-11,610,131,1
2015-02-12,526,110,0
2015-02-13,757,147,0
2015-02-14,436,69,0
2015-02-15,453,87,0
2015-02-16,402,74,0
2015-02-17,620,109,1
2015-02-18,626,123,1
2015-02-19,515,78,1
2015-02-20,621,114,3
2015-02-21,517,93,0
2015-02-22,519,117,1
2015-02-23,574,93,1
2015-02-24,580,107,0
2015-02-25,628,138,0
2015-02-26,539,92,1
2015-02-27,703,120,2
2015-02-28,538,131,0
2015-03-01,693,134,1
2015-03-02,650,125,1
2015-03-03,631,95,0
2015-03-04,573,78,0
2015-03-05,829,90,0
2015-03-06,936,142,0
2015-03-07,578,106,1
2015-03-08,464,115,0
2015-03-09,661,155,1
2015-03-10,583,144,0
2015-03-11,565,132,0
2015-03-12,586,112,0
2015-03-13,608,158,0
2015-03-14,507,137,0
2015-03-15,456,94,0
2015-03-16,529,99,1
2015-03-17,528,106,1
2015-03-18,547,113,1
2015-03-19,580,110,0
2015-03-20,570,154,4
2015-03-21,506,117,0
2015-03-22,432,125,0
2015-03-23,586,100,0
2015-03-24,601,120,1
2015-03-25,537,154,1
2015-03-26,525,132,0
2015-03-27,530,84,0
2015-03-28,459,90,0
2015-03-29,505,102,0
2015-03-30,556,138,0
2015-03-31,627,117,0
2015-04-01,648,140,3
2015-04-02,653,130,2
2015-04-03,491,109,0
2015-04-04,507,135,0
2015-04-05,421,128,3
2015-04-06,509,110,0
2015-04-07,452,105,0
2015-04-08,457,82,0
2015-04-09,451,87,1
2015-04-10,486,128,0
2015-04-11,576,130,0
2015-04-12,443,129,1
2015-04-13,554,126,0
2015-04-14,540,115,0
2015-04-15,592,148,0
2015-04-16,560,113,1
2015-04-17,679,181,0
2015-04-18,604,182,2
2015-04-19,471,139,0
2015-04-20,630,138,1
2015-04-21,645,142,1
2015-04-22,568,113,0
2015-04-23,612,120,0
2015-04-24,675,150,0
2015-04-25,590,156,1
2015-04-26,477,141,2
2015-04-27,558,118,0
2015-04-28,613,123,2
2015-04-29,679,175,0
2015-04-30,640,131,1
2015-05-01,642,148,1
2015-05-02,540,132,0
2015-05-03,555,153,1
2015-05-04,640,156,1
2015-05-05,637,138,0
2015-05-06,568,102,1
2015-05-07,684,151,0
2015-05-08,709,172,1
2015-05-09,560,124,1
2015-05-10,549,193,2
2015-05-11,645,173,1
2015-05-12,683,176,1
2015-05-13,654,157,1
2015-05-14,654,172,1
2015-05-15,722,161,1
2015-05-16,649,180,1
