date,day_of_week,is_weekend,felonies,accidents,accident_injuriesDeaths,any_precip,temp_min_degF,temp_max_degF,windspeed_avg_mph,is_holiday,school_attendance_pct,is_school_day
7/15/15,Wednesday,0,307,607,150,1,71.96,80.96,4.47388,0,0,0
7/16/15,Thursday,0,313,685,169,0,64.04,80.06,5.59235,0,0,0
7/17/15,Friday,0,332,659,150,0,66.92,80.96,3.802798,0,0,0
7/18/15,Saturday,1,296,561,140,1,71.06,84.92,4.47388,0,0,0
7/19/15,Sunday,1,317,545,156,0,78.08,93.02,3.131716,0,0,0
7/20/15,Monday,0,312,727,175,0,82.04,93.92,4.47388,0,0,0
7/21/15,Tuesday,0,295,605,131,0,73.94,89.06,2.460634,0,0,0
7/22/15,Wednesday,0,323,617,150,0,69.08,84.92,5.816044,0,0,0
7/23/15,Thursday,0,328,621,167,0,68,86,3.802798,0,0,0
7/24/15,Friday,0,329,490,116,0,69.98,87.08,2.013246,0,0,0
7/25/15,Saturday,1,332,451,122,0,69.08,87.98,3.131716,0,0,0
7/26/15,Sunday,1,330,550,192,0,73.94,89.96,4.47388,0,0,0
7/27/15,Monday,0,333,626,146,1,71.06,86,2.908022,0,0,0
7/28/15,Tuesday,0,321,642,154,0,75.02,95,2.684328,0,0,0
7/29/15,Wednesday,0,342,629,168,0,78.08,96.08,3.802798,0,0,0
7/30/15,Thursday,0,315,717,159,1,75.92,87.08,4.250186,0,0,0
7/31/15,Friday,0,377,753,189,0,71.96,89.06,3.35541,0,0,0
8/1/15,Saturday,1,366,668,170,0,75.02,89.06,4.47388,0,0,0
8/2/15,Sunday,1,329,549,156,0,71.06,89.06,2.013246,0,0,0
8/3/15,Monday,0,322,705,181,0,75.02,89.96,4.921268,0,0,0
8/4/15,Tuesday,0,314,666,151,1,69.08,89.06,5.368656,0,0,0
8/5/15,Wednesday,0,335,618,173,0,71.96,87.08,2.908022,0,0,0
8/6/15,Thursday,0,293,629,158,0,66.92,82.94,2.460634,0,0,0
8/7/15,Friday,0,348,726,186,0,69.08,84.02,5.368656,0,0,0
8/8/15,Saturday,1,344,545,130,0,68,82.04,3.802798,0,0,0
8/9/15,Sunday,1,283,489,161,0,68,84.92,3.802798,0,0,0
8/10/15,Monday,0,320,611,155,0,69.98,84.02,4.47388,0,0,0
8/11/15,Tuesday,0,284,601,153,1,71.06,80.96,4.250186,0,0,0
8/12/15,Wednesday,0,303,643,125,0,71.06,84.92,4.697574,0,0,0
8/13/15,Thursday,0,363,714,197,0,66.92,82.94,3.131716,0,0,0
8/14/15,Friday,0,342,728,173,0,66.92,87.98,2.908022,0,0,0
8/15/15,Saturday,1,328,579,133,0,73.04,91.94,3.35541,0,0,0
8/16/15,Sunday,1,313,552,162,0,75.92,93.02,1.565858,0,0,0
8/17/15,Monday,0,282,592,169,0,78.08,95,3.35541,0,0,0
8/18/15,Tuesday,0,298,623,148,1,73.04,89.96,4.026492,0,0,0
8/19/15,Wednesday,0,328,594,130,0,77,87.08,4.026492,0,0,0
8/20/15,Thursday,0,301,600,156,1,77,86,5.59235,0,0,0
8/21/15,Friday,0,350,753,174,1,71.06,87.08,4.250186,0,0,0
8/22/15,Saturday,1,331,581,150,0,69.08,86,4.47388,0,0,0
8/23/15,Sunday,1,353,491,145,0,69.98,84.92,4.026492,0,0,0
8/24/15,Monday,0,340,575,120,0,73.04,87.08,2.460634,0,0,0
8/25/15,Tuesday,0,308,594,138,0,73.04,89.96,3.802798,0,0,0
8/26/15,Wednesday,0,340,606,137,0,66.92,84.92,3.802798,0,0,0
8/27/15,Thursday,0,304,613,154,0,66.92,82.04,3.131716,0,0,0
